"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 21:55:34 CST 2024","Fri May 31 21:55:34 CST 2024","273","scripts","test_nj","TestKd","","","test_nj_search[nj_search pi]","通过查询参数获取相关的脑筋急转弯"
"passed","Fri May 31 21:55:34 CST 2024","Fri May 31 21:55:34 CST 2024","341","scripts","test_nj","TestKd","","","test_nj_search[nj_search xi]","通过查询参数获取相关的脑筋急转弯"
